,Date,P/E,P/B,Div Yield %,Combined
0,2022-08-12,21.18,4.15,1.35,65.10888888888888
1,2022-08-11,21.29,4.18,1.36,65.43544117647058
2,2022-08-10,21.11,4.21,1.34,66.32320895522388
3,2022-08-08,21.02,4.21,1.33,66.536992481203
4,2022-08-05,20.86,4.18,1.29,67.59286821705425
5,2022-08-04,20.85,4.18,1.3,67.04076923076923
6,2022-08-03,20.85,4.18,1.3,67.04076923076923
7,2022-08-02,20.86,4.17,1.29,67.43116279069767
8,2022-08-01,20.9,4.17,1.29,67.56046511627906
9,2022-07-29,20.73,4.12,1.29,66.20744186046511
10,2022-07-28,20.49,4.07,1.33,62.702481203007515
11,2022-07-27,20.19,4.0,1.38,58.52173913043479
12,2022-07-26,20.17,3.96,1.39,57.46273381294965
13,2022-07-25,20.44,4.01,1.38,59.39449275362319
14,2022-07-22,20.55,4.03,1.4,59.15464285714287
15,2022-07-21,20.43,4.0,1.41,57.95744680851064
16,2022-07-20,20.33,3.98,1.36,59.49514705882352
17,2022-07-19,20.18,3.94,1.37,58.03591240875912
18,2022-07-18,20.11,3.92,1.36,57.96411764705881
19,2022-07-15,19.82,3.87,1.38,55.58217391304348
20,2022-07-14,19.69,3.84,1.42,53.246197183098595
21,2022-07-13,19.72,3.85,1.39,54.62014388489209
22,2022-07-12,19.83,3.87,1.38,55.610217391304346
23,2022-07-11,20.03,3.91,1.37,57.16591240875912
24,2022-07-08,20.04,4.0,1.37,58.51094890510948
25,2022-07-07,19.93,4.12,1.4,58.65114285714286
26,2022-07-06,19.76,4.08,1.41,57.17787234042554
27,2022-07-05,19.54,4.04,1.42,55.59267605633803
28,2022-07-04,19.57,4.04,1.43,55.28867132867133
29,2022-07-01,19.46,4.02,1.41,55.481702127659574
30,2022-06-30,19.5,4.03,1.41,55.7340425531915
31,2022-06-29,19.55,4.04,1.38,57.233333333333334
32,2022-06-28,19.61,4.05,1.41,56.326595744680844
33,2022-06-27,19.59,4.05,1.41,56.26914893617022
34,2022-06-24,19.43,4.01,1.43,54.48552447552448
35,2022-06-22,19.07,3.94,1.46,51.46287671232877
36,2022-06-21,19.35,4.0,1.44,53.75000000000001
37,2022-06-20,18.99,3.92,1.46,50.98684931506849
38,2022-06-17,18.92,3.91,1.46,50.66931506849316
39,2022-06-16,19.01,3.93,1.48,50.47925675675677
40,2022-06-15,19.42,4.01,1.45,53.70634482758621
41,2022-06-14,19.47,4.02,1.36,57.551029411764695
42,2022-06-13,19.52,4.03,1.38,57.0040579710145
43,2022-06-10,20.05,4.14,1.38,60.15
44,2022-06-09,20.39,4.21,1.43,60.0293006993007
45,2022-06-07,20.31,4.2,1.43,59.65174825174825
46,2022-06-06,20.5,4.24,1.41,61.64539007092199
47,2022-06-03,20.52,4.24,1.41,61.70553191489362
48,2022-06-02,20.58,4.25,1.43,61.16433566433566
49,2022-06-01,20.45,4.22,1.44,59.92986111111111
50,2022-05-31,20.44,4.24,1.43,60.605314685314696
51,2022-05-30,20.65,4.26,1.4,62.835
52,2022-05-27,20.27,4.18,1.43,59.25076923076922
53,2022-05-26,19.88,4.13,1.44,57.01694444444445
54,2022-05-25,19.74,4.09,1.38,58.504782608695656
55,2022-05-24,19.87,4.12,1.32,62.018484848484846
56,2022-05-23,20.01,4.14,1.32,62.758636363636356
57,2022-05-20,20.05,4.16,1.31,63.67022900763359
58,2022-05-19,19.51,4.04,1.35,58.385481481481484
59,2022-05-18,20.09,4.15,1.31,63.643893129770994
60,2022-05-17,20.12,4.15,1.31,63.738931297709925
61,2022-05-16,19.72,4.05,1.35,59.15999999999998
62,2022-05-13,19.83,4.03,1.35,59.19622222222222
63,2022-05-12,19.87,4.04,1.35,59.46281481481481
64,2022-05-11,20.32,4.13,1.22,68.78819672131148
65,2022-05-10,20.42,4.15,1.22,69.46147540983607
66,2022-05-09,20.75,4.17,1.21,71.5103305785124
67,2022-05-06,20.89,4.19,1.21,72.33809917355373
68,2022-05-05,21.24,4.26,1.19,76.03563025210083
69,2022-05-04,21.31,4.26,1.19,76.28621848739496
70,2022-05-02,21.87,4.36,1.16,82.20103448275864
71,2022-04-29,22.01,4.37,1.16,82.9169827586207
72,2022-04-28,22.2,4.41,1.17,83.67692307692309
73,2022-04-27,21.96,4.35,1.16,82.35000000000001
74,2022-04-26,22.17,4.39,1.15,84.63156521739131
75,2022-04-25,22.03,4.33,1.17,81.52982905982907
